SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
765,Democrat,Clinton,3,,3,,Clinton,No,,,No,No,No,No,0,,,14,6,14,6,5,,5,Yes,Other,,No,No,,,No,No,0,,,67,63,67,63,40,0,20,25,I felt generous but not generous enough to give much more than 50 percent.,1,5,No,,,,,Female,57,Coll,"$25,001-$35,000",Yes,300,3,3,3,yes
766,Democrat,Trump,,2,2,,Sanders,No,No,No,,,No,No,0,-100,0,,,-100,0,3,,3,Yes,Other,,No,No,,,No,No,0,,,-100,0,-100,0,40,0,20,0,It's rough out here in the streets.,3,3,No,,,,,Male,24,<Coll,"$15,001-$25,000",Yes,100,4,2,3,yes
767,Democrat,Trump,,5,5,,Clinton,Yes,No,No,,,No,No,0,108,100,,,108,100,4,,4,Yes,Rep,,No,No,,,No,No,0,,,125,100,125,100,20,10,30,5,seems right,4,5,No,,,,,Male,34,Coll,"$65,001-$80,000",Yes,2,1,3,3,no
768,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,86,87,,,86,87,,7,7,Yes,Rep,,,,No,No,No,No,0,116,100,,,116,100,40,0,20,0,i want the bonus,6,1,No,,,,,Male,44,Coll,"$25,001-$35,000",Yes,1900,3,3,3,yes
769,Democrat,Clinton,2,,2,,Sanders,No,,,Yes,Yes,Yes,Yes,2,,,-100,0,-100,0,3,,3,Yes,Other,,No,No,,,No,No,0,,,-18,0,-18,0,10,0,20,0,"I understood that I would receive a higher bonus if I did not transfer any to the other member, but instead kept it for myself.",1,4,No,,,,,Female,31,Grad,"$35,001-$50,000",Yes,60,1,1,3,no
770,Republican,Trump,,6,6,Trump,,No,No,Yes,,,No,Yes,1,27,17,,,27,17,,1,1,Yes,Other,,,,No,No,No,No,0,-2,0,,,-2,0,40,0,20,0,Transferring 0 cents results in the highest bonus for myself.,7,2,No,,,,,Male,29,Coll,"$50,001-$65,000",Yes,15000,2,5,3,yes
771,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,6,2,6,2,3,,3,Yes,Other,,No,No,,,No,No,0,,,17,9,17,9,40,0,20,10,"My decision to transfer just 10 cents was because though I do support Hillary Clinton for president my support is not especially strong., As such I cannot wholly identify with her supporters.",1,6,No,,,,,Female,52,Grad,"$50,001-$65,000",Yes,2702,3,4,3,yes
772,Republican,Trump,,7,7,Other,,No,No,No,,,No,No,0,19,11,,,19,11,,3,3,Yes,Other,,,,No,Yes,No,Yes,1,7,2,,,7,2,40,0,20,20,I like to be fair and equal,7,1,Yes,,,,,Male,32,Grad,"$80,001-$100,000",Yes,550,4,4,3,yes
773,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,-49,0,,,-49,0,,5,5,Yes,Other,,,,No,Yes,No,Yes,1,-49,0,,,-49,0,40,0,20,0,Guaranteed money,6,1,No,,,,,Male,36,Coll,"$35,001-$50,000",Yes,1000,3,5,3,yes
774,Republican,Trump,,4,4,Trump,,Yes,No,No,,,No,No,0,14,7,,,14,7,,5,5,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,36,27,,,36,27,40,0,20,0,"I chose to not donate anything to the other person because if they're anything like a typical Trump voter, they would most likely keep the entire amount for themselves too.",3,1,Yes,,,,,Female,26,Coll,"$80,001-$100,000",Yes,50,1,5,3,yes
775,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,15,7,15,7,3,,3,Yes,Dem,,No,No,,,No,No,0,,,34,24,34,24,40,0,20,0,"I wanted to maximize the reward to myself. I knew nothing substantive about the other person's possible needs, so I saw no pressing need to share with them.",1,2,No,,,,,Male,61,Grad,"$50,001-$65,000",Yes,1100,1,5,3,yes
