SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
2180,Democrat,Clinton,3,,3,,Sanders,No,,,No,No,No,No,0,,,56,50,56,50,5,,5,Yes,Dem,,No,No,,,No,No,0,,,73,71,73,71,40,0,20,20,It's the fair thing to do.,,2,No,,1,,1,Male,29,<Coll,"$15,001-$25,000",Yes,50,2,5,8,yes
2181,Republican,Clinton,2,,2,Other,,No,,,No,No,No,No,0,,,-5,0,-5,0,,1,1,Yes,Other,,,,No,No,No,No,0,-33,0,,,-33,0,40,0,20,0,I wanted to maximize my bonus.,2,,Yes,Clinton,1,,1,Male,45,Grad,"$50,001-$65,000",Yes,12000,2,5,8,yes
2182,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,125,100,,,125,100,,4,4,Yes,Rep,,,,No,No,No,No,0,-16,0,,,-16,0,40,0,20,0,Because I probably need the money more than the other guy.,7,,Yes,Trump,,7,7,Male,41,<Coll,"$15,001-$25,000",Yes,1200,3,2,8,yes
2183,Republican,Trump,,6,6,Other,,No,No,No,,,No,No,0,37,27,,,37,27,,5,5,Yes,Other,,,,Yes,No,Yes,No,1,34,25,,,34,25,40,0,20,25,usually i'd split earnings but i guess i'm feeling a bit more generous than usual today.,6,,No,,,7,7,Male,60,Coll,"$25,001-$35,000",Yes,60000,4,5,8,yes
2184,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,19,10,19,10,6,,6,Yes,Dem,,No,No,,,No,No,0,,,69,66,69,66,40,0,20,0,"I am annoyed with Hillary Clinton and her supporters, so I figured I'd keep the whole bonus to myself.  I really don't care if I offend a Clinton supporter anymore, even if it hurts me in this survey.",,4,Yes,Other,1,,1,Female,39,Coll,"$15,001-$25,000",Yes,11000,5,1,8,yes
2185,Republican,Trump,,6,6,Trump,,No,Yes,No,,,Yes,No,1,84,85,,,84,85,,5,5,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,50,43,,,50,43,30,30,30,30,I wanted to pick the best possible solution,6,,Yes,Trump,,6,6,Male,26,Coll,"$50,001-$65,000",Yes,500,4,4,8,no
2186,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,77,77,77,77,6,,6,Yes,Dem,,No,No,,,No,No,0,,,77,77,77,77,40,0,20,20,Because it's fair. We did the same work.,,1,Yes,Clinton,1,,1,Female,35,Coll,"$35,001-$50,000",Yes,4-Mar,1,5,8,yes
2187,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,67,63,67,63,5,,5,Yes,Rep,,No,No,,,No,No,0,,,61,56,61,56,10,0,20,5,"I highly doubt there is even another worker, but if there is I didn't want to give them nothing.",,1,No,,1,,1,Male,47,Coll,"$15,001-$25,000",Yes,5020,3,1,8,no
2188,Republican,Trump,,4,4,Other,,No,No,No,,,No,No,0,5,1,,,5,1,,5,5,Yes,Other,,,,No,No,No,No,0,26,16,,,26,16,40,0,20,0,I decided not to loose bonus,4,,Yes,Other,,7,7,Male,45,Voc,"$25,001-$35,000",Yes,1000,3,5,8,yes
2189,Democrat,Trump,,5,5,,Sanders,No,No,No,,,No,No,0,25,16,,,25,16,4,,4,Yes,Dem,,No,Yes,,,No,Yes,1,,,46,38,46,38,40,0,20,0,I wanted to maximize my bonus so I decided to not transfer any money over to the other participant.,,6,Yes,Trump,,7,7,Male,26,Coll,"$35,001-$50,000",Yes,200,3,4,8,yes
2190,Democrat,Clinton,3,,3,,Sanders,No,,,No,No,No,No,0,,,10,4,10,4,3,,3,Yes,Dem,,No,No,,,No,No,0,,,2,0,2,0,40,0,20,20,I would like the bonus to be transferred equally between us,,3,Yes,Clinton,2,,2,Male,32,Coll,">$100,000",Yes,200,3,4,8,yes
2191,Republican,Trump,,5,5,Trump,,No,No,No,,,No,No,0,10,4,,,10,4,,5,5,Yes,Rep,,,,No,No,No,No,0,34,25,,,34,25,40,0,20,20,"it makes me feel better about myself to be fair. this is not charity, but rather fairness. My assumption is that the ""other player"" (if indeed there is one) is faced with a similar dilemma. I would hope for a similar response from that person.",5,,No,,,6,6,Male,43,Coll,">$100,000",Yes,"1,400",1,1,8,yes
2192,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,31,21,31,21,4,,4,No,,,No,No,,,No,No,0,,,30,20,30,20,40,0,20,20,I felt like giving the person half is fair,,1,No,,1,,1,Female,21,<Coll,"$35,001-$50,000",Yes,100,3,2,8,yes
2193,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,29,20,,,29,20,,5,5,Yes,Rep,,,,No,No,No,No,0,49,41,,,49,41,40,0,20,0,"Feeling selfish today, and I need as much money as possible for Christmas gifts this year. ",7,,Yes,Trump,,7,7,Male,39,Coll,"$25,001-$35,000",Yes,10000,3,1,8,yes
2194,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,12,5,12,5,6,,6,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,43,34,43,34,40,0,20,0,I wanted to maximize my gains while minimizing my loss.,,3,Yes,Clinton,1,,1,Male,24,<Coll,"$15,001-$25,000",Yes,120,1,3,8,yes
2195,Republican,Trump,,1,1,Other,,Yes,No,No,,,No,No,0,124,100,,,124,100,,1,1,Yes,Other,,,,Yes,Yes,Yes,Yes,2,65,61,,,65,61,0,0,0,0,none,1,,No,,,1,1,Male,27,Coll,"$50,001-$65,000",Yes,1,1,1,8,no
2196,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,50,43,,,50,43,,6,6,Yes,Rep,,,,No,No,No,No,0,52,45,,,52,45,40,0,20,10,i would want to keep more of it,6,,Yes,Trump,,6,6,Female,53,Coll,"$5,000-$10,000",Yes,3000,3,2,8,yes
2197,Republican,Trump,,5,5,Other,,Yes,No,No,,,No,No,0,22,13,,,22,13,,5,5,Yes,Rep,,,,No,No,No,No,0,40,31,,,40,31,40,0,20,10,I felt like I wanted to give some to the other person but still keep a majority to myself because I need the money. ,5,,Yes,Trump,,6,6,Female,24,Coll,"$35,001-$50,000",Yes,4000,3,3,8,yes
2198,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,0,0,0,0,6,,6,Yes,Dem,,No,No,,,No,No,0,,,0,0,0,0,40,40,20,20,There was another person doing work on Mturk. Not much money is made on Mturk so I felt that for the same amount of time that I spent on the survey the other person probably spent the same amount of time on it too. I didn't want to be selfish. Didn't have anything to do with party affiliation.,,1,Yes,Clinton,7,,7,Male,40,Coll,">$100,000",Yes," A bunch, don't really have a specific number as i haven't counted. More than 10 though if that helps.",2,5,8,no
2199,Republican,Trump,,5,5,Trump,,Yes,Yes,Yes,,,Yes,Yes,2,73,71,,,73,71,,5,5,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,81,82,,,81,82,20,20,20,20,Good,5,,Yes,Trump,,5,5,Male,27,Grad,"$50,001-$65,000",Yes,850,3,4,8,no
2200,Republican,Trump,,2,2,Other,,No,No,No,,,No,No,0,9,3,,,9,3,,3,3,Yes,Rep,,,,No,No,No,No,0,19,11,,,19,11,40,0,20,0,It maximizes my bonus with this decision,3,,No,,,4,4,Female,36,Coll,"$15,001-$25,000",Yes,1000,2,5,8,yes
2201,Republican,Trump,,5,5,Trump,,No,No,No,,,No,No,0,75,74,,,75,74,,5,5,Yes,Other,,,,No,No,No,No,0,34,25,,,34,25,40,0,20,20,Best to split any bonus would rather get something over nothing,6,,Yes,Trump,,7,7,Male,39,HS,"$25,001-$35,000",Yes,700,3,5,8,yes
2202,Democrat,Trump,,1,1,,Sanders,No,No,No,,,No,No,0,0,0,,,0,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,1,0,1,0,40,0,20,0,I'm greedy,,7,No,,,7,7,Male,37,<Coll,"$15,001-$25,000",Yes,200,3,5,8,yes
2203,Republican,Trump,,4,4,Trump,,No,No,No,,,No,No,0,49,42,,,49,42,,4,4,Yes,Other,,,,No,No,No,No,0,55,49,,,55,49,40,0,20,0,I'd like to keep the money because I really need it.,4,,Yes,Other,,7,7,Female,26,<Coll,"$35,001-$50,000",Yes,600,3,1,8,yes
2204,Democrat,Trump,,5,5,,Clinton,No,No,No,,,No,No,0,15,7,,,15,7,5,,5,Yes,Dem,,No,No,,,No,No,0,,,22,13,22,13,40,0,20,20,I divided it evenly.,,4,Yes,Trump,,7,7,Female,51,Coll,"$35,001-$50,000",Yes,I don't know,1,4,8,yes
2205,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,76,75,76,75,5,,5,No,,,No,No,,,No,No,0,,,69,66,69,66,40,40,40,0,I don't trust White America.,,1,No,,1,,1,Female,24,Coll,"$50,001-$65,000",Yes,5000,1,3,8,no
2206,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,-57,0,,,-57,0,,5,5,Yes,Rep,,,,No,No,No,No,0,125,100,,,125,100,40,0,20,20,I thought it would be fair if we split it so we each get 20 cents. ,3,,No,,,7,7,Female,22,<Coll,"$35,001-$50,000",Yes,24,1,5,8,yes
2207,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,14,7,14,7,5,,5,Yes,Other,,No,No,,,No,No,0,,,21,12,21,12,40,0,20,0,Because then I receive the bigger bonus.,,2,Yes,Clinton,1,,1,Female,29,<Coll,"$15,001-$25,000",Yes,540,1,1,8,yes
2208,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,70,68,70,68,6,,6,Yes,Dem,,No,No,,,No,No,0,,,71,68,71,68,20,40,20,20,"IT's only fair that since we are both doing this study, we both get the same amount of a bonus. ",,1,Yes,Clinton,1,,1,Female,37,Coll,"$50,001-$65,000",Yes,50,3,2,8,no
2209,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,57,51,57,51,3,,3,Yes,Dem,,No,No,,,No,No,0,,,52,45,52,45,40,0,20,20,"Because it seemed fair to do so, and I have goodwill for people who voted for Clinton.",,1,Yes,Clinton,1,,1,Female,33,Coll,"$15,001-$25,000",Yes,2000,3,3,8,yes
2210,Democrat,Trump,,4,4,,Sanders,No,No,No,,,No,No,0,-100,0,,,-100,0,4,,4,No,,,No,No,,,No,No,0,,,-100,0,-100,0,20,40,20,40,to be fair.,,7,No,,,7,7,Female,29,Voc,"$5,000-$10,000",Yes,several,3,3,8,no
2211,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,82,81,,,82,81,,6,6,Yes,Rep,,,,No,No,No,No,0,106,100,,,106,100,40,0,20,10,So the other person at least got something,7,,Yes,Trump,,7,7,Female,27,HS,"$50,001-$65,000",Yes,100,5,3,8,yes
2212,Republican,Trump,,7,7,Trump,,Yes,No,Yes,,,No,Yes,1,1,0,,,1,0,,4,4,Yes,Other,,,,No,No,No,No,0,1,0,,,1,0,40,0,20,0,"I am poor,that is why I work at M-Turk.I need all of the study money.Besides,there is no ""other person"" just a lie told by the study indivduals.",7,,Yes,Trump,,7,7,Female,66,<Coll,"$5,000-$10,000",Yes,1500,3,1,8,yes
2213,Republican,Trump,,3,3,Other,,No,No,No,,,No,No,0,-49,0,,,-49,0,,3,3,Yes,Rep,,,,No,No,No,No,0,-49,0,,,-49,0,40,0,20,0,It maximizes my bonus which I care most about,5,,Yes,Trump,,6,6,Male,22,Coll,"$80,001-$100,000",Yes,350,3,2,8,yes
2214,Republican,Trump,,3,3,Trump,,Yes,No,No,,,No,No,0,28,19,,,28,19,,2,2,Yes,Rep,,,,No,Yes,No,Yes,1,28,18,,,28,18,40,40,10,20,I JUST THOUGHT IT MOST LOGICAL TO TRANSFER HALF TO OTHER MTURK WORKER.,4,,Yes,Trump,,5,5,Female,27,HS,"$35,001-$50,000",Yes,500+,2,4,8,no
2215,Democrat,Clinton,7,,7,,Sanders,No,,,No,No,No,No,0,,,73,72,73,72,7,,7,Yes,Dem,,No,Yes,,,No,Yes,1,,,69,66,69,66,40,0,20,20,"I think it the most fair decision, to split the bonus equally.",,1,Yes,Clinton,1,,1,Other,40,Grad,"$35,001-$50,000",Yes,3000,2,3,8,yes
2216,Democrat,Clinton,7,,7,,Clinton,No,,,Yes,No,Yes,No,1,,,63,59,63,59,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,40,31,40,31,40,0,20,0,Because I would like to keep all of the money. ,,1,Yes,Clinton,1,,1,Female,27,Coll,"$35,001-$50,000",Yes,2500,4,2,8,yes
2217,Democrat,Clinton,4,,4,,Sanders,No,,,Yes,No,Yes,No,1,,,-2,0,-2,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,-2,0,-2,0,40,0,20,0,"i will keep i don't know the other ""person"" probably rich",,3,Yes,Clinton,3,,3,Male,35,Coll,"$65,001-$80,000",Yes,50+,1,3,8,yes
2218,Republican,Trump,,5,5,Trump,,No,No,No,,,No,No,0,63,58,,,63,58,,4,4,Yes,Rep,,,,No,Yes,No,Yes,1,75,74,,,75,74,40,0,20,20, I tried to be fair to the other participant and divided the bonus so that we would both receive the same bonus. ,5,,Yes,Trump,,6,6,Female,45,Coll,"$80,001-$100,000",Yes,1200,3,4,8,yes
2219,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,60,55,60,55,4,,4,Yes,Dem,,Yes,No,,,Yes,No,1,,,37,27,37,27,40,40,20,0,Because the outcome would better fit me. ,,2,Yes,Clinton,5,,5,Male,20,Voc,"$50,001-$65,000",Yes,250,3,5,8,no
2220,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,56,50,,,56,50,,3,3,Yes,Rep,,,,No,No,No,No,0,18,10,,,18,10,40,0,20,0,because i dont feel the need to share my money with them just because they agree with me on politics.  i am sure if the roles were reversed i would have gotten 0 as well,5,,Yes,Trump,,7,7,Male,31,Coll,"$50,001-$65,000",Yes,4152,3,1,8,yes
2221,Republican,Trump,,4,4,Trump,,Yes,No,No,,,No,No,0,53,46,,,53,46,,5,5,Yes,Rep,,,,No,No,No,No,0,64,60,,,64,60,10,30,20,20,i decided to do it half half,5,,Yes,Trump,,5,5,Male,25,Grad,"$35,001-$50,000",Yes,15,1,5,8,no
2222,Democrat,Clinton,1,,1,,Sanders,No,,,No,No,No,No,0,,,78,78,78,78,2,,2,Yes,Other,,No,No,,,No,No,0,,,53,46,53,46,20,10,20,10,I thought that it would be beneficial to give something but keep a good portion for myself.,,1,Yes,Clinton,1,,1,Male,31,Coll,"$25,001-$35,000",Yes,600,5,1,8,no
2223,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,53,46,,,53,46,,6,6,Yes,Rep,,,,No,No,No,No,0,84,85,,,84,85,40,0,20,25,I didn't want to donate too much but I didn't want to be selfish either.,6,,Yes,Trump,,7,7,Female,28,HS,"$25,001-$35,000",Yes,100,1,4,8,yes
2224,Democrat,Clinton,7,,7,,Sanders,Yes,,,No,No,No,No,0,,,125,100,125,100,6,,6,Yes,Dem,,No,No,,,No,No,0,,,125,100,125,100,40,0,20,20,It was the fair thing to do,,1,Yes,Clinton,1,,1,Female,46,Voc,"$80,001-$100,000",Yes,7000,4,5,8,yes
2225,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,-1,0,-1,0,5,,5,Yes,Dem,,No,No,,,No,No,0,,,6,2,6,2,20,20,30,10,I felt that the amount was fair.,,2,Yes,Clinton,1,,1,Female,30,Coll,"$10,001-$15,000",Yes,1200,4,4,8,no
2226,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,51,44,,,51,44,,6,6,Yes,Other,,,,No,No,No,No,0,76,75,,,76,75,40,0,20,20,"This way we both get the same amount.  I think that I am a fair person, so I like to do things that are fair.  We both gain something this way.  ",7,,Yes,Trump,,7,7,Female,44,<Coll,"$50,001-$65,000",Yes,550,3,5,8,yes
2227,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,No,No,No,0,,,77,77,77,77,6,,6,Yes,Dem,,No,No,,,No,No,0,,,64,60,64,60,40,40,20,10,"I wanted to be fair, but also had my best interests in mind.",,5,Yes,Clinton,2,,2,Female,30,HS,"$35,001-$50,000",Yes,2,3,4,8,no
2228,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,43,35,43,35,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,63,59,63,59,40,0,20,20,"Because I feel a connection to all Democrats, especially in this political climate, so why not share what I have; it's not the other worker's fault that I am the one with the 40 cents, so I don't want the other worker to lose out. And I have more in common with another democrat that any differences between us. And I am glad to know that others align with my ideology.",,1,Yes,Clinton,1,,1,Female,61,HS,"$65,001-$80,000",Yes,4300,4,4,8,yes
2229,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,54,47,,,54,47,,2,2,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,24,15,,,24,15,40,0,20,20,it would be even and fair,7,,Yes,Trump,,7,7,Male,54,Grad,"$80,001-$100,000",Yes,1000,3,2,8,yes
2230,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,No,Yes,No,1,,,33,24,33,24,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,29,20,29,20,40,0,20,20,I believe in sharing,,1,Yes,Clinton,1,,1,Female,60,Coll,"$50,001-$65,000",Yes,1200,4,1,8,yes
2231,Democrat,Clinton,6,,6,,Clinton,Yes,,,No,Yes,No,Yes,1,,,40,31,40,31,5,,5,Yes,Dem,,No,No,,,No,No,0,,,14,6,14,6,40,0,20,0,i dont know the other person,,3,Yes,Clinton,2,,2,Male,25,HS,"$15,001-$25,000",Yes,1000,1,1,8,yes
2232,Republican,Trump,,2,2,Other,,No,No,No,,,No,No,0,-6,0,,,-6,0,,1,1,Yes,Other,,,,No,No,No,No,0,-15,0,,,-15,0,40,0,20,0,"Because I don't identify with Republicans, but more so because in another study I completed today, my partner chose to split the bonus with me unevenly.  They gave me .05 and kept 1.70.  It made me realize that we work here on mturk to make money, so why not maximize my own bonus?",5,,Yes,Other,,7,7,Female,43,HS,"$65,001-$80,000",Yes,1500,5,3,8,yes
2233,Democrat,Clinton,6,,6,,Sanders,No,,,Yes,No,Yes,No,1,,,80,80,80,80,6,,6,Yes,Dem,,Yes,No,,,Yes,No,1,,,82,83,82,83,20,20,20,15,I just didn't want to go more than half,,1,Yes,Clinton,1,,1,Male,61,Voc,"$25,001-$35,000",Yes,86,1,4,8,no
2234,Republican,Clinton,3,,3,Other,,No,,,No,No,No,No,0,,,127,100,127,100,,3,3,No,,,,,No,No,No,No,0,62,56,,,62,56,40,0,20,0,I wanted to get the most from the bonus. ,1,,No,,1,,1,Female,21,<Coll,"<$5,000",Yes,200,3,1,8,yes
2235,Democrat,Clinton,5,,5,,Clinton,No,,,No,No,No,No,0,,,30,21,30,21,6,,6,Yes,Dem,,No,No,,,No,No,0,,,58,53,58,53,40,0,20,0,I want to keep the money,,3,Yes,Clinton,2,,2,Male,36,Grad,"$65,001-$80,000",Yes,900,4,5,8,yes
2236,Democrat,Clinton,6,,6,,Sanders,Yes,,,No,No,No,No,0,,,23,14,23,14,3,,3,Yes,Dem,,Yes,Yes,,,Yes,Yes,2,,,26,16,26,16,40,0,20,20,"That is the fair answer. It doesn't matter who they are or what they believe, fair is always fair.",,1,Yes,Clinton,1,,1,Female,31,Coll,"$35,001-$50,000",Yes,100,1,5,8,yes
2237,Republican,Trump,,5,5,Trump,,Yes,No,No,,,No,No,0,8,3,,,8,3,,4,4,Yes,Rep,,,,No,No,No,No,0,42,33,,,42,33,40,0,20,20,I just thought half would be fair and I would still have .20Î¢ if anything. ,6,,Yes,Trump,,7,7,Male,59,<Coll,"$65,001-$80,000",Yes,30,2,4,8,yes
2238,Republican,Clinton,6,,6,Other,,No,,,No,No,No,No,0,,,37,28,37,28,,2,2,No,,,,,Yes,Yes,Yes,Yes,2,26,17,,,26,17,40,0,20,20,Because half is fair for each of us. ,4,,No,,1,,1,Female,30,<Coll,">$100,000",Yes,95,3,5,8,yes
2239,Democrat,Clinton,3,,3,,Sanders,No,,,No,No,No,No,0,,,25,16,25,16,7,,7,Yes,Dem,,No,No,,,No,No,0,,,100,100,100,100,40,0,20,0,I made this decision because I am completing this survey so I believe the bonus should be given to me.,,2,Yes,Clinton,1,,1,Female,32,Grad,"$35,001-$50,000",Yes,30,1,1,8,yes
2240,Democrat,Clinton,1,,1,,Sanders,Yes,,,No,No,No,No,0,,,16,8,16,8,4,,4,Yes,Other,,Yes,Yes,,,Yes,Yes,2,,,33,24,33,24,40,0,20,20,"I decided upon 20 cents so it would be split evenly. I had a hard time deciding between transferring the whole 40 cents or doing half at 20, because I believe in helping others and sharing. I felt the 20 cent gives both parties something and is the choice most others may go with as well.",,2,Yes,Other,1,,1,Female,30,Voc,"$15,001-$25,000",Yes,25,1,3,8,yes
2241,Republican,Trump,,7,7,Trump,,Yes,Yes,No,,,Yes,No,1,87,88,,,87,88,,6,6,Yes,Rep,,,,Yes,No,Yes,No,1,87,89,,,87,89,40,0,20,10,Wanted to earn more but make sure the other person got something.,6,,Yes,Trump,,6,6,Female,55,HS,"$35,001-$50,000",Yes,75,2,4,8,yes
2242,Republican,Trump,,4,4,Other,,Yes,No,No,,,No,No,0,78,78,,,78,78,,5,5,Yes,Other,,,,No,Yes,No,Yes,1,62,58,,,62,58,40,0,20,20,We seem to be like thinkers on some issues.,6,,Yes,Trump,,7,7,Male,32,Coll,"$80,001-$100,000",Yes,1,1,5,8,yes
2243,Democrat,Trump,,3,3,,Sanders,No,No,No,,,No,No,0,-94,0,,,-94,0,5,,5,Yes,Other,,No,No,,,No,No,0,,,22,13,22,13,40,40,40,20,it was my instinct,,6,No,,,6,6,Female,20,Voc,"$25,001-$35,000",Yes,1000,1,1,8,no
2244,Democrat,Clinton,7,,7,,Sanders,No,,,No,No,No,No,0,,,44,36,44,36,5,,5,Yes,Other,,No,No,,,No,No,0,,,40,31,40,31,40,40,20,20,Even though i need every penny i can get right now i would feel guilty if i kept the whole thing or really anything other then splitting it down the middle because that person may also need the money just as much as i do.,,1,No,,1,,1,Female,38,Coll,"$15,001-$25,000",Yes,10,1,5,8,no
2245,Republican,Trump,,6,6,Trump,,Yes,No,No,,,No,No,0,2,0,,,2,0,,1,1,Yes,Other,,,,No,No,No,No,0,-28,0,,,-28,0,40,0,20,20,I would do the same for any mturk worker regardless of who they supported for president.,6,,Yes,Trump,,7,7,Male,54,<Coll,"$50,001-$65,000",Yes,1000,3,1,8,yes
2246,Republican,Trump,,6,6,Other,,Yes,No,No,,,No,No,0,83,84,,,83,84,,6,6,Yes,Other,,,,No,No,No,No,0,48,40,,,48,40,40,0,20,20,it was the fair amount for both of us,7,,Yes,Trump,,7,7,Male,67,Coll,"$50,001-$65,000",Yes,85,1,4,8,yes
2247,Democrat,Clinton,2,,2,,Sanders,No,,,No,No,No,No,0,,,40,31,40,31,3,,3,Yes,Dem,,No,No,,,No,No,0,,,46,38,46,38,40,40,20,0,I simply did not want to transfer any earning in this particular situation. ,,2,Yes,Clinton,1,,1,Female,24,<Coll,"$50,001-$65,000",Yes,200,3,1,8,no
2248,Democrat,Clinton,5,,5,,Clinton,No,,,No,No,No,No,0,,,22,13,22,13,3,,3,Yes,Dem,,No,No,,,No,No,0,,,17,9,17,9,40,0,20,20,Felt it was only fair. We both go the same amount.,,2,Yes,Clinton,1,,1,Male,37,Coll,"$50,001-$65,000",Yes,900,1,5,8,yes
2249,Republican,Trump,,4,4,Trump,,No,No,No,,,No,No,0,-49,0,,,-49,0,,4,4,Yes,Rep,,,,No,No,No,No,0,-49,0,,,-49,0,40,0,20,20,It was the fair descision,5,,Yes,Trump,,6,6,Male,51,<Coll,"$65,001-$80,000",Yes,200,4,4,8,yes
2250,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,-2,0,-2,0,5,,5,Yes,Dem,,No,No,,,No,No,0,,,45,37,45,37,40,0,20,0,i want more ,,5,Yes,Clinton,4,,4,Female,31,Coll,"$65,001-$80,000",Yes,1000,2,3,8,yes
2251,Democrat,Clinton,7,,7,,Sanders,No,,,No,Yes,No,Yes,1,,,-100,0,-100,0,2,,2,Yes,Dem,,No,No,,,No,No,0,,,-100,0,-100,0,20,20,40,20,Splt 50/50 is a win win deal,,4,No,,4,,4,Male,30,HS,"$35,001-$50,000",Yes,20,3,4,8,no
2252,Democrat,Clinton,1,,1,,Clinton,No,,,No,No,No,No,0,,,-100,0,-100,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,-100,0,-100,0,40,0,20,0,There's no advantage to me to giving some random person money.,,4,No,,1,,1,Male,37,Coll,">$100,000",Yes,20,3,1,8,yes
2253,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,50,43,50,43,7,,7,Yes,Dem,,No,No,,,No,No,0,,,95,97,95,97,40,0,20,20,I transferred twenty cents of the bonus so that we would equally get half of it.,,2,Yes,Other,1,,1,Female,23,<Coll,"<$5,000",Yes,3,1,4,8,yes
2254,Democrat,Clinton,7,,7,,Sanders,No,,,No,No,No,No,0,,,51,43,51,43,3,,3,Yes,Other,,No,No,,,No,No,0,,,36,27,36,27,40,0,20,0,I want to maximize my bonus.,,1,Yes,Clinton,1,,1,Male,34,Coll,"$25,001-$35,000",Yes,100,2,5,8,yes
2255,Republican,Trump,,4,4,Trump,,Yes,No,No,,,No,No,0,27,17,,,27,17,,4,4,Yes,Other,,,,No,No,No,No,0,20,11,,,20,11,40,0,20,10,"Just random stranger on the internet...he/she's lucky I gave him anything, honestly.",5,,Yes,Trump,,7,7,Male,26,<Coll,"$35,001-$50,000",Yes,2445,3,4,8,yes
2256,Republican,Trump,,7,7,Trump,,Yes,No,No,,,No,No,0,45,36,,,45,36,,7,7,Yes,Rep,,,,No,No,No,No,0,45,36,,,45,36,40,40,40,40,because im caring person,7,,Yes,Trump,,7,7,Male,26,HS,"$15,001-$25,000",Yes,700,5,5,8,no
2257,Democrat,Clinton,5,,5,,Sanders,No,,,No,No,No,No,0,,,9,4,9,4,6,,6,Yes,Dem,,No,No,,,No,No,0,,,25,15,25,15,40,0,20,15,I wanted to give them something to be nice. ,,3,Yes,Clinton,1,,1,Female,22,Coll,"$5,000-$10,000",Yes,1400,3,2,8,yes
2258,Democrat,Trump,,2,2,,Clinton,No,No,No,,,No,No,0,-100,0,,,-100,0,1,,1,Yes,Other,,No,No,,,No,No,0,,,-100,0,-100,0,40,0,20,20,It is the safest way to ensure that I receive some sort of bonus if this decision dictates whether or not I receive one.,,4,No,,,5,5,Male,27,<Coll,"<$5,000",Yes,1500,3,1,8,yes
